# 從《墨子引得》謄錄出來
庸	4/02526
强	5/12890
強	5/12662
得	5/29832
徙	5/29250
從	5/29990
御	5/29920
悉	3/26010
患	3/50014
?	3/02010	[初心]
情	5/60522
惕	5/60822
惔	5/60690
惟	5/60973
戚	2/50760
扈	4/22113
捶	5/50274
捷	5/50592
捽	5/50030
授	5/50240
排	5/50770
?	5/50081
措	5/50383
接	5/50040
据	5/50881
採	5/50260
探	5/50060
推	5/50973
掩	5/50314
敎	5/33940
敏	5/95940
教	5/36940
敖	5/32940
敗	5/89943
斬	5/50824
旋	5/02990
旌	5/02970
?	5/21713
晚	5/88214
晝	3/57814
晞	5/88432
晨	3/88892
曹	3/58889
曼	3/88845
望	3/02272
桼	3/36960
梯	5/36952
梁	3/02360
梓	5/36030
梗	5/36744
械	5/36500
械	5/36010
梴	5/36140
梃	5/36140
欲	5/98291
毫	3/01811
涸	5/01881
涿	5/01790
淄	5/01684
淨	5/01252
淫	5/01270
深	5/01060
淮	5/01973
淳	5/01031
清	5/01522
淺	5/01550
?	5/01040
烹	3/01861
烽	5/69250
焉	3/77220
爽	1/30900
犁	3/22250
犀	4/82151
猛	5/42173
率	3/01030
理	5/77874
產	3/01470
畢	1/88508
略	5/88285
祥	5/06950
祩	5/06260
祧	5/06010
祭	2/29160
?	5/06881
移	5/26220
窕	3/02910
窒	3/02970
竟	3/01912
章	3/01932
笙	3/66270
笞	3/66681
笠	3/66010
符	3/66930
第	3/66752
粒	5/66010
累	3/88664
細	5/66884
紹	5/66781
終	5/66210
組	5/66873
紺	5/66382
羝	5/95830
習	3/72282
聆	5/77923
脚	5/82322
?	5/82126
脣	4/12122
脩	5/90222
脯	5/82526
春	2/59880
船	5/23881
荷	3/33921
莊	3/33270
莒	3/33882
莘	3/33030
着	3/33783
莧	3/33813
莫	3/33892
?	3/33173
處	3/70840
虖	3/70830
蛇	5/56012
衒	5/29020
術	5/29320
衺	3/01891
袾	5/09260
袤	3/01190
袍	5/09211
被	5/09340
規	5/59813
現	5/77813
訟	5/08961
設	5/08841
許	5/08931
訪	5/08021
豚	5/82762
貨	3/91893
貧	2/90793
貪	2/90093
責	3/57893
赦	5/32940
逋	2/09524
逐	2/09760
通	2/09124
逝	2/09520
速	2/09562
造	2/09281
逢	2/09250
連	2/09504
趾	5/87271
跂	5/97341
?	5/50224
部	5/08821
郭	5/03821
郵	5/27824
野	5/87124
釫	5/97120
閈	2/82735
閉	2/82304
陰	5/82960
陳	5/82564
陷	5/82280
陵	5/82340
陶	5/82220
陸	5/82370
?	5/82210
雀	4/69070
雩	3/73120
雪	3/73180
頃	5/71793
飢	5/91812
魚	3/22864
鳥	2/22602
鹿	4/02312
麥	2/36240
麻	4/02310
傅	5/90534
傍	5/90020
㑷	5/90612
傐	5/90022
傑	5/90261
傒	5/90290
備	5/90325
割	5/08221
創	5/98223
勝	5/82622
勞	3/69020
博	5/30534
厦	4/12743
厥	4/12990
善	3/91581
喑	5/88083
喙	5/88261
喜	3/37882
喪	3/37292
單	3/88856
圍	2/88353
堙	5/37771
堞	5/37361
堪	5/37313
堯	3/37310
報	5/33840
場	5/37822
壹	3/37011
壺	3/37070
?	5/37832
奢	2/39382
富	3/02185
寐	3/02260
寒	3/02512
寓	3/02824
尊	2/90732
尋	3/18731
就	5/06311
屠	4/82383
幄	5/30871
幅	5/30185
幾	2/65900
廁	4/02823
?	4/02381
彘	3/27710
彭	5/31221
徧	5/29824
復	5/29942
循	5/29883
悲	3/77010
惑	2/50811
惠	3/56014
惡	3/77010
𢜔	3/98011
惰	5/60322
愠	5/60875
?	5/60883
戟	5/33502
掌	3/60051
掔	3/84253
揖	5/50834
揗	5/50883
提	5/50892
握	5/50871
揚	5/50822
換	5/50290
揜	5/50931
揣	5/50220
揮	5/50054
援	5/50240
?	5/50041
敝	5/62940
敢	5/77943
散	5/32943
斯	5/39823
普	3/91282
景	3/88063
智	3/98883
曾	2/90882
最	3/88745
朝	5/33824
期	5/39825
棄	3/01661
棘	5/56560
梱	5/36890
棧	5/36550
棲	5/36542
椎	5/36973
椅	5/36321
棺	5/36082
椁	5/36031
植	5/36374
欺	5/39293
款	5/36290
殖	5/72313
殘	5/72550
渝	5/01962
湌	5/01992
